GenCo_Name,"Zone 
Location","Capacity 
(MW)",Fuel Type,"MinUp
Time (hr)","MinDown 
Time (hr)","Ramp Rate
(MW/hr)","StartUp 
Cost ($)","NoLoad
Cost ($)","Dispatch Cost 
Coefficient a 
($/MWh)","Dispatch Cost 
Coefficient b 
($/MW^2h)"
Generator_1,NH,1244.0,NUC ,24,49,120,950000.0,1000.0,10.0,0.0002
Generator_2,CT,1235.0, NUC ,24,48,120,850000.0,1250.0,10.0,0.00022999999999999998
Generator_3,CT,881.0, NUC ,24,48,120,900000.0,1500.0,5.0,0.00015
Generator_4,SEMASS,684.7, NUC ,24,48,120,875000.0,1250.0,7.0,0.00021
Generator_5,VT,620.2, NUC ,24,47,120,925000.0,1500.0,11.0,0.00022
Generator_6,RI,612.0, BIT ,24,60,120,20915.15,3042.4,18.28,0.00011999999999999999
Generator_7,CT,372.2, SUB ,24,24,120,17336.83,1540.0,19.98,0.0016699999999999998
Generator_8,CT,372.2, SUB ,24,24,120,17500.0,1535.0,19.98,0.0016699999999999998
Generator_9,RI,244.0, BIT ,8,16,120,16860.36,1212.98,18.1,0.00011999999999999999
Generator_10,RI,243.5, BIT ,8,16,120,13947.52,1210.5,18.2,0.00011999999999999999
Generator_11,ME,149.8, BIT ,16,13,120,13872.67,744.69,18.4,0.00011999999999999999
Generator_12,WCMASS,144.4, BIT ,8,9,120,13727.67,717.85,18.3,0.00011999999999999999
Generator_13,ME,82.0, BIT ,16,12,120,3486.01,407.64,18.4,0.00011999999999999999
Generator_14,ME,80.0, BIT ,16,12,120,2441.71,397.7,18.3,0.00011999999999999999
Generator_15,NH,47.9, BIT ,8,8,120,5774.179,238.12,19.98,0.0016699999999999998
Generator_16,NH,47.5, BIT ,8,8,120,5774.179,236.13,19.98,0.0016699999999999998
Generator_17,ME,600.4, RFO ,10,8,120,115287.0,10379.0,160.55,0.02367
Generator_18,SEMASS,558.7, RFO ,24,32,120,272400.8,10707.0,153.16,0.0346
Generator_19,SEMASS,553.0, RFO ,24,32,120,191144.1,12828.0,192.06,0.03463
Generator_20,CT,447.9, RFO ,14,8,120,100000.0,7000.0,160.0,0.0236
Generator_21,RI,435.0, RFO ,12,9,120,120000.0,10000.0,192.0,0.0345
Generator_22,ME,431.0, RFO ,16,12,120,85000.0,8260.0,233.0,0.0312
Generator_23,CT,407.4, RFO ,16,15,120,86332.49,7367.0,233.42,0.00598
Generator_24,NH,400.2, RFO ,6,5,120,32566.38,3175.0,54.57,0.0014
Generator_25,CT,400.0, RFO ,16,11,120,62461.34,11358.0,200.14,0.021840000000000002
Generator_26,CT,236.0, RFO ,16,40,120,120000.0,5000.0,192.06,0.03463
Generator_27,CT,168.0, RFO ,17,10,120,45000.0,4000.0,151.16,0.0347
Generator_28,CT,130.5, RFO ,12,8,120,45000.0,3500.0,152.16,0.0345
Generator_29,CT,117.0, RFO ,16,11,120,80000.0,2800.0,192.06,0.03463
Generator_30,ME,115.5, RFO ,8,8,120,45000.0,3000.0,154.16,0.0346
Generator_31,CT,81.0, RFO ,16,12,120,12000.0,2100.0,54.0,0.002
Generator_32,ME,693.8, NGLN ,12,12,400,66889.42,3858.73,23.13,0.00294
Generator_33,ME,685.3, NGLN ,12,12,400,66889.42,3858.73,25.14,0.00292
Generator_34,SEMASS,675.5, NGA4 ,12,12,400,76560.21,610.84,57.0,0.00292
Generator_35,ME,554.8, NGA1 ,24,24,400,25000.0,612.84,90.0,0.00292
Generator_36,RI,515.5, NGTN ,8,6,400,325.75,0.0,27.72,0.00292
Generator_37,NH,508.0, NGMN ,12,6,400,1000.0,0.0,23.13,0.00292
Generator_38,ME,490.4, NGMN ,14,6,400,1000.0,0.0,23.0,0.00292
Generator_39,CT,447.9, NGIR ,8,6,400,2500.0,0.0,50.0,0.00292
Generator_40,RI,270.9, NGTN ,6,4,400,2352.0,0.0,27.72,0.0229
Generator_41,RI,264.9, NGA4 ,8,6,400,12000.0,500.0,57.0,0.003
Generator_42,RI,248.7, NGA4 ,8,5,400,11112.19,699.7,22.23,2e-05
