Hours,Scenarios,CT
1,1,971
1,2,1015
1,3,1014
1,4,965
1,5,978
1,6,1077
1,7,1060
1,8,1024
1,9,975
1,10,964
1,11,957
1,12,947
1,13,1037
1,14,1015
1,15,983
1,16,1002
1,17,986
1,18,928
1,19,903
1,20,928
1,21,944
1,22,956
1,23,927
1,24,961
1,25,982
1,26,927
1,27,978
1,28,974
1,29,979
1,30,976
1,31,1021
1,32,996
1,33,985
1,34,1012
1,35,1042
1,36,1006
1,37,1012
1,38,1095
1,39,1036
1,40,1033
1,41,975
1,42,1028
1,43,1039
1,44,1022
1,45,1054
1,46,1033
1,47,1008
1,48,1020
1,49,1056
1,50,974
1,51,981
1,52,1010
1,53,995
1,54,1007
1,55,1003
1,56,1034
1,57,992
1,58,1037
1,59,1127
1,60,1058
1,61,930
1,62,909
1,63,939
1,64,926
1,65,994
1,66,988
1,67,986
1,68,992
1,69,1015
1,70,979
1,71,959
1,72,952
1,73,947
1,74,938
1,75,931
1,76,924
1,77,923
1,78,944
1,79,952
1,80,939
1,81,928
1,82,939
1,83,921
1,84,939
1,85,950
1,86,954
1,87,968
1,88,967
1,89,993
1,90,952
2,1,949
2,2,986
2,3,980
2,4,957
2,5,950
2,6,1039
2,7,1033
2,8,986
2,9,945
2,10,927
2,11,917
2,12,933
2,13,1017
2,14,999
2,15,957
2,16,976
2,17,954
2,18,897
2,19,884
2,20,898
2,21,912
2,22,921
2,23,897
2,24,921
2,25,946
2,26,902
2,27,949
2,28,955
2,29,956
2,30,938
2,31,994
2,32,968
2,33,982
2,34,980
2,35,1004
2,36,975
2,37,986
2,38,1060
2,39,1000
2,40,999
2,41,969
2,42,1004
2,43,1011
2,44,982
2,45,1026
2,46,995
2,47,980
2,48,991
2,49,1023
2,50,947
2,51,950
2,52,983
2,53,965
2,54,967
2,55,979
2,56,1003
2,57,977
2,58,1007
2,59,1083
2,60,1017
2,61,891
2,62,917
2,63,910
2,64,913
2,65,964
2,66,959
2,67,952
2,68,968
2,69,986
2,70,952
2,71,935
2,72,934
2,73,917
2,74,908
2,75,898
2,76,885
2,77,898
2,78,910
2,79,923
2,80,907
2,81,899
2,82,908
2,83,891
2,84,914
2,85,922
2,86,940
2,87,938
2,88,930
2,89,961
2,90,926
3,1,942
3,2,977
3,3,958
3,4,937
3,5,942
3,6,1027
3,7,1022
3,8,976
3,9,936
3,10,921
3,11,910
3,12,932
3,13,1013
3,14,988
3,15,954
3,16,966
3,17,937
3,18,878
3,19,880
3,20,884
3,21,906
3,22,898
3,23,887
3,24,920
3,25,935
3,26,901
3,27,920
3,28,949
3,29,945
3,30,915
3,31,974
3,32,948
3,33,945
3,34,970
3,35,973
3,36,971
3,37,984
3,38,1048
3,39,991
3,40,980
3,41,962
3,42,988
3,43,992
3,44,978
3,45,1019
3,46,983
3,47,967
3,48,989
3,49,1012
3,50,945
3,51,942
3,52,972
3,53,946
3,54,941
3,55,978
3,56,997
3,57,981
3,58,992
3,59,1078
3,60,1000
3,61,880
3,62,887
3,63,902
3,64,908
3,65,951
3,66,946
3,67,937
3,68,951
3,69,954
3,70,946
3,71,924
3,72,924
3,73,903
3,74,896
3,75,879
3,76,876
3,77,891
3,78,898
3,79,906
3,80,887
3,81,867
3,82,898
3,83,880
3,84,903
3,85,911
3,86,921
3,87,931
3,88,909
3,89,940
3,90,909
4,1,963
4,2,980
4,3,947
4,4,925
4,5,950
4,6,1022
4,7,1017
4,8,981
4,9,935
4,10,924
4,11,915
4,12,927
4,13,1012
4,14,979
4,15,955
4,16,966
4,17,935
4,18,871
4,19,879
4,20,878
4,21,907
4,22,893
4,23,882
4,24,910
4,25,926
4,26,919
4,27,918
4,28,938
4,29,951
4,30,917
4,31,968
4,32,948
4,33,946
4,34,973
4,35,971
4,36,959
4,37,977
4,38,1036
4,39,984
4,40,971
4,41,966
4,42,994
4,43,995
4,44,976
4,45,1021
4,46,986
4,47,952
4,48,994
4,49,1026
4,50,930
4,51,1011
4,52,966
4,53,947
4,54,940
4,55,987
4,56,990
4,57,985
4,58,993
4,59,1080
4,60,955
4,61,869
4,62,870
4,63,913
4,64,908
4,65,950
4,66,948
4,67,937
4,68,954
4,69,949
4,70,947
4,71,933
4,72,935
4,73,904
4,74,904
4,75,873
4,76,864
4,77,899
4,78,898
4,79,897
4,80,885
4,81,879
4,82,899
4,83,871
4,84,903
4,85,913
4,86,924
4,87,928
4,88,911
4,89,940
4,90,904
5,1,1008
5,2,1023
5,3,963
5,4,927
5,5,993
5,6,1047
5,7,1057
5,8,1022
5,9,974
5,10,940
5,11,929
5,12,976
5,13,1050
5,14,1019
5,15,1003
5,16,1004
5,17,951
5,18,883
5,19,916
5,20,905
5,21,946
5,22,933
5,23,907
5,24,920
5,25,935
5,26,958
5,27,952
5,28,966
5,29,991
5,30,953
5,31,1012
5,32,966
5,33,959
5,34,1022
5,35,1013
5,36,999
5,37,1017
5,38,1075
5,39,1000
5,40,982
5,41,1021
5,42,1025
5,43,1022
5,44,1023
5,45,1074
5,46,996
5,47,968
5,48,1023
5,49,1066
5,50,971
5,51,1048
5,52,1000
5,53,958
5,54,944
5,55,1021
5,56,1031
5,57,1029
5,58,1029
5,59,1113
5,60,964
5,61,879
5,62,863
5,63,951
5,64,947
5,65,980
5,66,987
5,67,972
5,68,960
5,69,951
5,70,992
5,71,979
5,72,974
5,73,946
5,74,930
5,75,886
5,76,872
5,77,928
5,78,937
5,79,931
5,80,929
5,81,911
5,82,910
5,83,886
5,84,946
5,85,959
5,86,965
5,87,970
5,88,968
5,89,945
5,90,913
6,1,1129
6,2,1152
6,3,1004
6,4,952
6,5,1115
6,6,1167
6,7,1184
6,8,1160
6,9,1097
6,10,974
6,11,959
6,12,1109
6,13,1145
6,14,1135
6,15,1130
6,16,1126
6,17,995
6,18,906
6,19,1011
6,20,1001
6,21,1043
6,22,1039
6,23,1002
6,24,963
6,25,956
6,26,1082
6,27,1078
6,28,1073
6,29,1093
6,30,1055
6,31,1136
6,32,995
6,33,977
6,34,1135
6,35,1136
6,36,1114
6,37,1123
6,38,1200
6,39,1027
6,40,1010
6,41,1144
6,42,1140
6,43,1143
6,44,1146
6,45,1198
6,46,1049
6,47,1019
6,48,1115
6,49,1167
6,50,1068
6,51,1149
6,52,1098
6,53,995
6,54,964
6,55,1143
6,56,1157
6,57,1137
6,58,1161
6,59,1232
6,60,1000
6,61,916
6,62,898
6,63,1077
6,64,1073
6,65,1119
6,66,1108
6,67,1099
6,68,1015
6,69,986
6,70,1117
6,71,1112
6,72,1109
6,73,1073
6,74,1061
6,75,928
6,76,904
6,77,1025
6,78,1043
6,79,1032
6,80,1038
6,81,1012
6,82,958
6,83,911
6,84,1079
6,85,1083
6,86,1096
6,87,1084
6,88,1087
6,89,972
6,90,928
7,1,1318
7,2,1357
7,3,1089
7,4,979
7,5,1333
7,6,1353
7,7,1373
7,8,1356
7,9,1275
7,10,1039
7,11,1008
7,12,1313
7,13,1347
7,14,1312
7,15,1338
7,16,1305
7,17,1067
7,18,939
7,19,1137
7,20,1142
7,21,1183
7,22,1171
7,23,1132
7,24,1025
7,25,993
7,26,1291
7,27,1281
7,28,1254
7,29,1284
7,30,1244
7,31,1332
7,32,1093
7,33,1027
7,34,1325
7,35,1341
7,36,1307
7,37,1313
7,38,1392
7,39,1093
7,40,1043
7,41,1343
7,42,1329
7,43,1332
7,44,1332
7,45,1375
7,46,1104
7,47,1069
7,48,1210
7,49,1288
7,50,1206
7,51,1270
7,52,1218
7,53,1064
7,54,1000
7,55,1341
7,56,1342
7,57,1333
7,58,1364
7,59,1417
7,60,1075
7,61,1001
7,62,931
7,63,1259
7,64,1275
7,65,1305
7,66,1299
7,67,1284
7,68,1100
7,69,1038
7,70,1306
7,71,1301
7,72,1297
7,73,1275
7,74,1218
7,75,1001
7,76,951
7,77,1146
7,78,1184
7,79,1176
