Hours,Scenarios,ME
1,1,2319
1,2,2398
1,3,2372
1,4,2301
1,5,2261
1,6,2446
1,7,2307
1,8,2228
1,9,2185
1,10,2175
1,11,2140
1,12,2081
1,13,2187
1,14,2250
1,15,2166
1,16,2225
1,17,2192
1,18,2070
1,19,2006
1,20,2131
1,21,2052
1,22,2069
1,23,2152
1,24,2130
1,25,2065
1,26,2062
1,27,2118
1,28,2082
1,29,2118
1,30,2099
1,31,2254
1,32,2238
1,33,2224
1,34,2208
1,35,2272
1,36,2170
1,37,2135
1,38,2153
1,39,2163
1,40,2148
1,41,2057
1,42,2185
1,43,2265
1,44,2203
1,45,2205
1,46,2224
1,47,2157
1,48,2048
1,49,2060
1,50,2140
1,51,2134
1,52,2111
1,53,2107
1,54,2119
1,55,2042
1,56,2133
1,57,2092
1,58,2137
1,59,2118
1,60,2115
1,61,2133
1,62,2108
1,63,2125
1,64,2191
1,65,2301
1,66,2357
1,67,2268
1,68,2218
1,69,2281
1,70,2196
1,71,2176
1,72,2167
1,73,2135
1,74,2125
1,75,2110
1,76,2071
1,77,2000
1,78,2080
1,79,2093
1,80,2118
1,81,2101
1,82,2126
1,83,2127
1,84,2111
1,85,2158
1,86,2104
1,87,2110
1,88,2097
1,89,2163
1,90,2127
2,1,2226
2,2,2304
2,3,2261
2,4,2071
2,5,2177
2,6,2336
2,7,2206
2,8,2145
2,9,2082
2,10,2071
2,11,2023
2,12,2010
2,13,2087
2,14,2136
2,15,2062
2,16,2112
2,17,2085
2,18,1957
2,19,1919
2,20,2028
2,21,1945
2,22,1965
2,23,2027
2,24,2022
2,25,1966
2,26,1975
2,27,2021
2,28,1990
2,29,2011
2,30,1978
2,31,2161
2,32,2140
2,33,2066
2,34,2113
2,35,2167
2,36,2066
2,37,2038
2,38,2059
2,39,2063
2,40,2045
2,41,1980
2,42,2097
2,43,2178
2,44,2104
2,45,2116
2,46,2120
2,47,2059
2,48,1959
2,49,1964
2,50,2029
2,51,2017
2,52,2010
2,53,2002
2,54,1999
2,55,1951
2,56,2044
2,57,1991
2,58,2029
2,59,2027
2,60,2003
2,61,2033
2,62,2012
2,63,2028
2,64,2096
2,65,2214
2,66,2259
2,67,2176
2,68,2105
2,69,2175
2,70,2118
2,71,2083
2,72,2067
2,73,2032
2,74,2016
2,75,1997
2,76,1952
2,77,1915
2,78,1985
2,79,1998
2,80,2012
2,81,1993
2,82,2030
2,83,2043
2,84,2027
2,85,2057
2,86,2018
2,87,2020
2,88,2009
2,89,2067
2,90,2026
3,1,2193
3,2,2263
3,3,2203
3,4,2185
3,5,2134
3,6,2301
3,7,2163
3,8,2107
3,9,2039
3,10,2022
3,11,1964
3,12,1976
3,13,2048
3,14,2072
3,15,2022
3,16,2059
3,17,2033
3,18,1894
3,19,1876
3,20,1973
3,21,1901
3,22,1923
3,23,1946
3,24,1955
3,25,1911
3,26,1945
3,27,1974
3,28,1943
3,29,1966
3,30,1929
3,31,2120
3,32,2091
3,33,2123
3,34,2069
3,35,2127
3,36,2023
3,37,1994
3,38,2006
3,39,2003
3,40,1992
3,41,1935
3,42,2068
3,43,2133
3,44,2073
3,45,2076
3,46,2070
3,47,2010
3,48,1910
3,49,1921
3,50,1981
3,51,1963
3,52,1966
3,53,1951
3,54,1931
3,55,1915
3,56,1998
3,57,1945
3,58,1984
3,59,1987
3,60,1946
3,61,1975
3,62,2003
3,63,1996
3,64,2062
3,65,2174
3,66,2211
3,67,2123
3,68,2050
3,69,2118
3,70,2085
3,71,2041
3,72,2033
3,73,1984
3,74,1966
3,75,1937
3,76,1884
3,77,1883
3,78,1944
3,79,1957
3,80,1959
3,81,1941
3,82,1981
3,83,1986
3,84,1981
3,85,2013
3,86,1977
3,87,1968
3,88,1968
3,89,2027
3,90,1974
4,1,2185
4,2,2248
4,3,2177
4,4,2121
4,5,2145
4,6,2285
4,7,2151
4,8,2112
4,9,2033
4,10,2002
4,11,1941
4,12,1973
4,13,2043
4,14,2044
4,15,2009
4,16,2057
4,17,2014
4,18,1864
4,19,1870
4,20,1953
4,21,1889
4,22,1907
4,23,1918
4,24,1927
4,25,1887
4,26,1940
4,27,1968
4,28,1931
4,29,1960
4,30,1914
4,31,2114
4,32,2078
4,33,2071
4,34,2065
4,35,2113
4,36,2011
4,37,1984
4,38,1998
4,39,1986
4,40,1970
4,41,1938
4,42,2069
4,43,2132
4,44,2068
4,45,2080
4,46,2056
4,47,1987
4,48,1906
4,49,1917
4,50,1959
4,51,1941
4,52,1956
4,53,1920
4,54,1901
4,55,1915
4,56,1995
4,57,1945
4,58,1973
4,59,1981
4,60,1921
4,61,1953
4,62,1958
4,63,1993
4,64,2048
4,65,2167
4,66,2196
4,67,2118
4,68,2023
4,69,2090
4,70,2089
4,71,2039
4,72,2028
4,73,1971
4,74,1939
4,75,1907
4,76,1844
4,77,1881
4,78,1933
4,79,1942
4,80,1937
4,81,1934
4,82,1970
4,83,1957
4,84,1975
4,85,1997
4,86,1977
4,87,1962
4,88,1961
4,89,2006
4,90,1952
5,1,2235
5,2,2289
5,3,2184
5,4,2102
