Hours,Scenarios,NH
1,1,1690
1,2,1710
1,3,1697
1,4,1573
1,5,1625
1,6,1805
1,7,1699
1,8,1685
1,9,1621
1,10,1568
1,11,1505
1,12,1460
1,13,1600
1,14,1667
1,15,1616
1,16,1654
1,17,1582
1,18,1441
1,19,1416
1,20,1556
1,21,1525
1,22,1540
1,23,1571
1,24,1560
1,25,1459
1,26,1467
1,27,1589
1,28,1555
1,29,1596
1,30,1553
1,31,1639
1,32,1605
1,33,1565
1,34,1577
1,35,1710
1,36,1621
1,37,1584
1,38,1591
1,39,1562
1,40,1502
1,41,1453
1,42,1629
1,43,1648
1,44,1623
1,45,1612
1,46,1594
1,47,1482
1,48,1421
1,49,1526
1,50,1566
1,51,1608
1,52,1572
1,53,1531
1,54,1492
1,55,1467
1,56,1607
1,57,1564
1,58,1589
1,59,1592
1,60,1550
1,61,1511
1,62,1455
1,63,1480
1,64,1626
1,65,1732
1,66,1740
1,67,1678
1,68,1582
1,69,1602
1,70,1524
1,71,1578
1,72,1552
1,73,1565
1,74,1527
1,75,1462
1,76,1412
1,77,1363
1,78,1509
1,79,1528
1,80,1543
1,81,1524
1,82,1511
1,83,1498
1,84,1497
1,85,1595
1,86,1564
1,87,1565
1,88,1548
1,89,1527
1,90,1451
2,1,1616
2,2,1644
2,3,1621
2,4,1488
2,5,1567
2,6,1734
2,7,1630
2,8,1604
2,9,1555
2,10,1501
2,11,1429
2,12,1390
2,13,1542
2,14,1588
2,15,1547
2,16,1590
2,17,1516
2,18,1369
2,19,1353
2,20,1479
2,21,1452
2,22,1472
2,23,1488
2,24,1482
2,25,1393
2,26,1418
2,27,1523
2,28,1488
2,29,1527
2,30,1480
2,31,1584
2,32,1533
2,33,1500
2,34,1515
2,35,1645
2,36,1557
2,37,1512
2,38,1522
2,39,1490
2,40,1442
2,41,1396
2,42,1573
2,43,1580
2,44,1560
2,45,1553
2,46,1533
2,47,1419
2,48,1368
2,49,1463
2,50,1493
2,51,1527
2,52,1500
2,53,1461
2,54,1423
2,55,1410
2,56,1542
2,57,1490
2,58,1510
2,59,1530
2,60,1461
2,61,1443
2,62,1450
2,63,1427
2,64,1550
2,65,1666
2,66,1674
2,67,1606
2,68,1502
2,69,1531
2,70,1477
2,71,1527
2,72,1501
2,73,1486
2,74,1452
2,75,1385
2,76,1329
2,77,1313
2,78,1447
2,79,1458
2,80,1470
2,81,1454
2,82,1450
2,83,1425
2,84,1447
2,85,1523
2,86,1497
2,87,1504
2,88,1480
2,89,1461
2,90,1396
3,1,1588
3,2,1617
3,3,1582
3,4,1501
3,5,1547
3,6,1709
3,7,1601
3,8,1574
3,9,1522
3,10,1467
3,11,1390
3,12,1390
3,13,1519
3,14,1555
3,15,1514
3,16,1560
3,17,1477
3,18,1331
3,19,1329
3,20,1435
3,21,1422
3,22,1439
3,23,1438
3,24,1440
3,25,1355
3,26,1396
3,27,1484
3,28,1461
3,29,1495
3,30,1441
3,31,1548
3,32,1512
3,33,1491
3,34,1491
3,35,1605
3,36,1527
3,37,1482
3,38,1481
3,39,1451
3,40,1408
3,41,1373
3,42,1548
3,43,1559
3,44,1526
3,45,1533
3,46,1502
3,47,1395
3,48,1342
3,49,1427
3,50,1454
3,51,1486
3,52,1468
3,53,1418
3,54,1383
3,55,1389
3,56,1512
3,57,1451
3,58,1481
3,59,1495
3,60,1422
3,61,1405
3,62,1394
3,63,1407
3,64,1522
3,65,1631
3,66,1645
3,67,1583
3,68,1465
3,69,1497
3,70,1452
3,71,1506
3,72,1470
3,73,1454
