Hours,Scenarios,RI
1,1,700
1,2,717
1,3,712
1,4,701
1,5,700
1,6,773
1,7,729
1,8,711
1,9,702
1,10,679
1,11,664
1,12,652
1,13,702
1,14,720
1,15,700
1,16,718
1,17,702
1,18,655
1,19,637
1,20,676
1,21,665
1,22,673
1,23,680
1,24,690
1,25,650
1,26,651
1,27,687
1,28,674
1,29,684
1,30,674
1,31,708
1,32,706
1,33,691
1,34,692
1,35,722
1,36,684
1,37,689
1,38,686
1,39,692
1,40,666
1,41,646
1,42,700
1,43,710
1,44,709
1,45,706
1,46,711
1,47,673
1,48,640
1,49,673
1,50,669
1,51,696
1,52,680
1,53,672
1,54,658
1,55,647
1,56,690
1,57,673
1,58,687
1,59,682
1,60,674
1,61,667
1,62,646
1,63,642
1,64,689
1,65,725
1,66,740
1,67,718
1,68,700
1,69,711
1,70,675
1,71,690
1,72,677
1,73,672
1,74,668
1,75,655
1,76,641
1,77,610
1,78,665
1,79,662
1,80,665
1,81,660
1,82,671
1,83,662
1,84,645
1,85,677
1,86,663
1,87,683
1,88,666
1,89,672
1,90,654
2,1,672
2,2,686
2,3,687
2,4,672
2,5,671
2,6,736
2,7,693
2,8,678
2,9,665
2,10,642
2,11,624
2,12,623
2,13,667
2,14,649
2,15,662
2,16,684
2,17,665
2,18,616
2,19,610
2,20,641
2,21,631
2,22,639
2,23,643
2,24,649
2,25,612
2,26,627
2,27,654
2,28,641
2,29,652
2,30,638
2,31,677
2,32,673
2,33,638
2,34,657
2,35,685
2,36,654
2,37,656
2,38,649
2,39,654
2,40,632
2,41,615
2,42,669
2,43,681
2,44,679
2,45,675
2,46,677
2,47,639
2,48,611
2,49,638
2,50,633
2,51,649
2,52,643
2,53,637
2,54,621
2,55,613
2,56,658
2,57,640
2,58,651
2,59,652
2,60,636
2,61,637
2,62,633
2,63,612
2,64,655
2,65,692
2,66,708
2,67,684
2,68,658
2,69,675
2,70,647
2,71,657
2,72,645
2,73,638
2,74,633
2,75,617
2,76,599
2,77,587
2,78,630
